Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,Number of Fatalities,"Bus Involvement","Rigid Truck Involvement","Articulated Truck Involvement ",Speed Limit
1200903070061,NSW,07-Mar-2009,7,3,2009,Saturday,12:00,12,00,Multiple vehicle,1,No,No,No,100
4200903070019,SA,07-Mar-2009,7,3,2009,Saturday,15:15,15,15,Single vehicle ,1,No,No,No,80
1200903080062,NSW,08-Mar-2009,8,3,2009,Sunday,03:00,03,00,Single vehicle ,1,No,No,No,90
1200903080063,NSW,08-Mar-2009,8,3,2009,Sunday,09:15,09,15,Single vehicle ,1,No,No,No,60
1200903080064,NSW,08-Mar-2009,8,3,2009,Sunday,11:05,11,05,Multiple vehicle,2,No,No,No,70
1200903080065,NSW,08-Mar-2009,8,3,2009,Sunday,19:45,19,45,Single vehicle ,1,No,No,No,50
3200903080054,QLD,08-Mar-2009,8,3,2009,Sunday,22:00,22,00,Single vehicle ,1,No,No,No,80
1200903090066,NSW,09-Mar-2009,9,3,2009,Monday,16:12,16,12,Multiple vehicle,1,No,No,No,50
1200903090067,NSW,09-Mar-2009,9,3,2009,Monday,17:30,17,30,Multiple vehicle,1,No,No,No,50
1200903100068,NSW,10-Mar-2009,10,3,2009,Tuesday,14:30,14,30,Pedestrian,1,No,No,Yes,50
